Fiscal Year,Individual Income Taxes,Corporation Income Taxes,Social Insurance and Retirement Receipts,Excise Taxes,Other
1934,0.7,0.6,0.0,2.2,1.3
1935,0.7,0.8,0.0,2.0,1.5
1936,0.8,0.9,0.1,2.0,1.1
1937,1.2,1.2,0.7,2.1,0.9
1938,1.4,1.4,1.7,2.1,0.9
1939,1.1,1.2,1.8,2.1,0.7
1940,0.9,1.2,1.8,2.0,0.7
1941,1.1,1.8,1.7,2.2,0.7
1942,2.2,3.2,1.7,2.3,0.5
1943,3.5,5.2,1.6,2.2,0.4
1944,9.2,6.9,1.6,2.2,0.5
1945,8.1,7.1,1.5,2.8,0.5
1946,7.1,5.2,1.4,3.1,0.5
1947,7.5,3.6,1.4,3.0,0.6
1948,7.4,3.7,1.4,2.8,0.6
1949,5.6,4.0,1.4,2.7,0.5
1950,5.6,3.7,1.6,2.7,0.5
1951,6.6,4.3,1.7,2.6,0.5
1952,7.8,5.9,1.8,2.5,0.5
1953,7.8,5.6,1.8,2.6,0.5
1954,7.6,5.4,1.9,2.6,0.5
1955,7.1,4.4,1.9,2.2,0.5
1956,7.3,4.8,2.1,2.3,0.5
1957,7.7,4.6,2.2,2.3,0.6
1958,7.3,4.2,2.4,2.2,0.6
1959,7.3,3.4,2.3,2.1,0.6
1960,7.6,4.0,2.7,2.2,0.7
1961,7.5,3.8,3.0,2.2,0.7
1962,7.8,3.5,2.9,2.1,0.7
1963,7.7,3.5,3.2,2.1,0.7
1964,7.3,3.5,3.3,2.1,0.7
1965,6.9,3.6,3.1,2.1,0.8
1966,7.1,3.8,3.3,1.7,0.9
1967,7.3,4.1,3.9,1.6,0.8
1968,7.6,3.2,3.8,1.6,0.8
1969,8.9,3.7,4.0,1.5,0.9
1970,8.6,3.1,4.2,1.5,0.9
1971,7.7,2.4,4.2,1.5,0.9
1972,7.8,2.6,4.3,1.3,1.0
1973,7.6,2.7,4.7,1.2,0.9
1974,8.0,2.6,5.1,1.1,0.9
1975,7.6,2.5,5.2,1.0,0.9
1976,7.4,2.3,5.1,0.9,1.0
TQ,8.2,1.8,5.3,0.9,0.9
1977,7.8,2.7,5.2,0.9,0.9
1978,7.9,2.6,5.3,0.8,0.8
1979,8.5,2.6,5.4,0.7,0.9
1980,8.7,2.3,5.6,0.9,0.9
1981,9.1,1.9,5.8,1.3,0.9
1982,9.0,1.5,6.1,1.1,1.0
1983,8.2,1.0,5.9,1.0,0.9
1984,7.5,1.4,6.1,0.9,0.9
1985,7.8,1.4,6.2,0.8,0.9
1986,7.7,1.4,6.3,0.7,0.9
1987,8.2,1.8,6.3,0.7,0.9
1988,7.8,1.8,6.5,0.7,0.9
1989,8.0,1.9,6.5,0.6,0.9
1990,7.9,1.6,6.4,0.6,0.9
1991,7.7,1.6,6.5,0.7,0.8
1992,7.4,1.6,6.4,0.7,0.9
1993,7.5,1.7,6.3,0.7,0.7
1994,7.5,2.0,6.4,0.8,0.8
1995,7.8,2.1,6.4,0.8,0.8
1996,8.2,2.2,6.4,0.7,0.8
1997,8.7,2.1,6.4,0.7,0.7
1998,9.3,2.1,6.4,0.6,0.8
1999,9.2,1.9,6.4,0.7,0.9
2000,9.9,2.0,6.4,0.7,0.9
2001,9.4,1.4,6.6,0.6,0.8
2002,7.9,1.4,6.4,0.6,0.7
2003,7.0,1.2,6.3,0.6,0.7
2004,6.7,1.6,6.1,0.6,0.6
2005,7.2,2.2,6.2,0.6,0.6
2006,7.6,2.6,6.1,0.5,0.7
2007,8.1,2.6,6.1,0.5,0.7
2008,7.8,2.1,6.1,0.5,0.7
2009,6.3,1.0,6.2,0.4,0.7
2010,6.1,1.3,5.8,0.5,1.0
2011,7.1,1.2,5.3,0.5,0.9
2012,7.1,1.5,5.3,0.5,0.9
2013,7.9,1.6,5.7,0.5,0.9
2014,8.1,1.9,5.9,0.5,1.1
2015 estimate,8.2,1.9,5.9,0.5,1.1
2016 estimate,8.7,2.5,5.9,0.6,1.0
2017 estimate,9.0,2.5,6.0,0.6,1.0
2018 estimate,9.2,2.4,6.0,0.6,1.0
2019 estimate,9.3,2.4,5.9,0.6,1.0
2020 estimate,9.4,2.3,5.9,0.6,1.1