,day,hour,N,per_day_per_hour,day2
25,Monday,0,17,4.25,0
26,Monday,1,12,3,0
27,Monday,2,10,2.5,0
28,Monday,3,5,1.25,0
29,Monday,4,2,0.5,0
30,Monday,5,2,0.5,0
31,Monday,6,3,0.75,0
32,Monday,7,8,2,0
33,Monday,8,10,2.5,0
34,Monday,9,4,1,0
35,Monday,10,17,4.25,0
36,Monday,11,15,3.75,0
37,Monday,12,19,4.75,0
38,Monday,13,7,1.75,0
39,Monday,14,12,3,0
40,Monday,15,12,3,0
41,Monday,16,20,5,0
42,Monday,17,18,4.5,0
43,Monday,18,21,5.25,0
44,Monday,19,19,4.75,0
45,Monday,20,19,4.75,0
46,Monday,21,27,6.75,0
47,Monday,22,23,5.75,0
48,Monday,23,22,5.5,0
121,Tuesday,0,22,5.5,1
122,Tuesday,1,12,3,1
123,Tuesday,2,7,1.75,1
124,Tuesday,3,1,0.25,1
125,Tuesday,4,1,0.25,1
126,Tuesday,5,5,1.25,1
127,Tuesday,6,5,1.25,1
128,Tuesday,7,6,1.5,1
129,Tuesday,8,10,2.5,1
130,Tuesday,9,14,3.5,1
131,Tuesday,10,10,2.5,1
132,Tuesday,11,14,3.5,1
133,Tuesday,12,16,4,1
134,Tuesday,13,20,5,1
135,Tuesday,14,20,5,1
136,Tuesday,15,15,3.75,1
137,Tuesday,16,8,2,1
138,Tuesday,17,17,4.25,1
139,Tuesday,18,22,5.5,1
140,Tuesday,19,18,4.5,1
141,Tuesday,20,16,4,1
142,Tuesday,21,16,4,1
143,Tuesday,22,27,6.75,1
144,Tuesday,23,16,4,1
145,Wednesday,0,16,4,2
146,Wednesday,1,9,2.25,2
147,Wednesday,2,7,1.75,2
148,Wednesday,3,3,0.75,2
149,Wednesday,4,1,0.25,2
150,Wednesday,5,2,0.5,2
151,Wednesday,6,8,2,2
152,Wednesday,7,7,1.75,2
153,Wednesday,8,3,0.75,2
154,Wednesday,9,13,3.25,2
155,Wednesday,10,11,2.75,2
156,Wednesday,11,16,4,2
157,Wednesday,12,13,3.25,2
158,Wednesday,13,10,2.5,2
159,Wednesday,14,13,3.25,2
160,Wednesday,15,20,5,2
161,Wednesday,16,10,2.5,2
162,Wednesday,17,11,2.75,2
163,Wednesday,18,15,3.75,2
164,Wednesday,19,30,7.5,2
165,Wednesday,20,15,3.75,2
166,Wednesday,21,27,6.75,2
167,Wednesday,22,23,5.75,2
168,Wednesday,23,21,5.25,2
97,Thursday,0,22,4.4,3
98,Thursday,1,10,2,3
99,Thursday,2,13,2.6,3
100,Thursday,3,3,0.6,3
101,Thursday,4,4,0.8,3
102,Thursday,5,5,1,3
103,Thursday,6,5,1,3
104,Thursday,7,9,1.8,3
105,Thursday,8,8,1.6,3
106,Thursday,9,14,2.8,3
107,Thursday,10,20,4,3
108,Thursday,11,19,3.8,3
109,Thursday,12,14,2.8,3
110,Thursday,13,19,3.8,3
111,Thursday,14,21,4.2,3
112,Thursday,15,33,6.6,3
113,Thursday,16,19,3.8,3
114,Thursday,17,17,3.4,3
115,Thursday,18,20,4,3
116,Thursday,19,26,5.2,3
117,Thursday,20,25,5,3
118,Thursday,21,25,5,3
119,Thursday,22,24,4.8,3
120,Thursday,23,24,4.8,3
1,Friday,0,21,4.2,4
2,Friday,1,13,2.6,4
3,Friday,2,7,1.4,4
4,Friday,3,6,1.2,4
5,Friday,4,3,0.6,4
6,Friday,5,1,0.2,4
7,Friday,6,2,0.4,4
8,Friday,7,8,1.6,4
9,Friday,8,8,1.6,4
10,Friday,9,13,2.6,4
11,Friday,10,11,2.2,4
12,Friday,11,15,3,4
13,Friday,12,19,3.8,4
14,Friday,13,13,2.6,4
15,Friday,14,21,4.2,4
16,Friday,15,17,3.4,4
17,Friday,16,22,4.4,4
18,Friday,17,14,2.8,4
19,Friday,18,17,3.4,4
20,Friday,19,22,4.4,4
21,Friday,20,16,3.2,4
22,Friday,21,24,4.8,4
23,Friday,22,22,4.4,4
24,Friday,23,26,5.2,4
49,Saturday,0,24,4.8,5
50,Saturday,1,18,3.6,5
51,Saturday,2,6,1.2,5
52,Saturday,3,11,2.2,5
53,Saturday,4,8,1.6,5
54,Saturday,5,3,0.6,5
55,Saturday,6,3,0.6,5
56,Saturday,7,6,1.2,5
57,Saturday,8,10,2,5
58,Saturday,9,10,2,5
59,Saturday,10,16,3.2,5
60,Saturday,11,20,4,5
61,Saturday,12,19,3.8,5
62,Saturday,13,18,3.6,5
63,Saturday,14,25,5,5
64,Saturday,15,16,3.2,5
65,Saturday,16,18,3.6,5
66,Saturday,17,31,6.2,5
67,Saturday,18,19,3.8,5
68,Saturday,19,22,4.4,5
69,Saturday,20,21,4.2,5
70,Saturday,21,21,4.2,5
71,Saturday,22,10,2,5
72,Saturday,23,8,1.6,5
73,Sunday,0,20,5,6
74,Sunday,1,8,2,6
75,Sunday,2,11,2.75,6
76,Sunday,3,7,1.75,6
77,Sunday,4,6,1.5,6
78,Sunday,5,7,1.75,6
79,Sunday,6,3,0.75,6
80,Sunday,7,1,0.25,6
81,Sunday,8,8,2,6
82,Sunday,9,8,2,6
83,Sunday,10,10,2.5,6
84,Sunday,11,9,2.25,6
85,Sunday,12,9,2.25,6
86,Sunday,13,9,2.25,6
87,Sunday,14,15,3.75,6
88,Sunday,15,18,4.5,6
89,Sunday,16,17,4.25,6
90,Sunday,17,8,2,6
91,Sunday,18,17,4.25,6
92,Sunday,19,22,5.5,6
93,Sunday,20,22,5.5,6
94,Sunday,21,17,4.25,6
95,Sunday,22,21,5.25,6
96,Sunday,23,19,4.75,6