ken,総計,地下1階,地下2階,地下3階,地下4階,地下5階,地下6階
都道府県,14296,13607,551,93,24,13,8
北海道,1112,1083,25,3,0,1,0
青森県,38,35,3,0,0,0,0
岩手県,45,44,1,0,0,0,0
宮城県,117,111,4,2,0,0,0
秋田県,14,13,1,0,0,0,0
山形県,32,31,1,0,0,0,0
福島県,123,121,2,0,0,0,0
茨城県,68,67,1,0,0,0,0
栃木県,36,34,1,1,0,0,0
群馬県,45,36,9,0,0,0,0
埼玉県,262,254,8,0,0,0,0
千葉県,356,347,5,0,2,1,1
東京都,5541,5207,257,52,14,9,2
神奈川県,967,892,60,10,4,1,0
新潟県,70,67,1,1,0,0,1
富山県,21,20,1,0,0,0,0
石川県,28,28,0,0,0,0,0
福井県,31,30,1,0,0,0,0
山梨県,45,43,2,0,0,0,0
長野県,196,188,7,1,0,0,0
岐阜県,60,59,1,0,0,0,0
静岡県,209,196,9,2,1,0,1
愛知県,913,866,41,4,1,0,1
三重県,69,60,9,0,0,0,0
滋賀県,62,60,1,1,0,0,0
京都府,341,329,9,3,0,0,0
大阪府,737,706,24,5,0,0,2
兵庫県,969,952,16,1,0,0,0
奈良県,119,115,4,0,0,0,0
和歌山県,52,47,3,2,0,0,0
鳥取県,9,6,2,1,0,0,0
島根県,6,6,0,0,0,0,0
岡山県,47,42,4,1,0,0,0
広島県,137,132,5,0,0,0,0
山口県,35,33,1,1,0,0,0
徳島県,11,10,1,0,0,0,0
香川県,27,26,1,0,0,0,0
愛媛県,41,40,0,1,0,0,0
高知県,30,30,0,0,0,0,0
福岡県,284,273,8,0,2,1,0
佐賀県,23,23,0,0,0,0,0
長崎県,113,110,3,0,0,0,0
熊本県,71,67,3,1,0,0,0
大分県,56,54,2,0,0,0,0
宮崎県,22,22,0,0,0,0,0
鹿児島県,136,132,4,0,0,0,0
沖縄県,570,560,10,0,0,0,0